k1,k2,lambda,val_mAP
25,1,0.5473684210526315,0.9679697853846182
34,5,0.6,0.9679696938795916
16,1,0.31052631578947365,0.9679695727960057
30,1,0.28421052631578947,0.967969535403902
27,8,0.49473684210526314,0.9679695153144118
16,1,0.28421052631578947,0.9679695090454067
28,7,0.49473684210526314,0.9679694667336508
31,7,0.5473684210526315,0.9679692321421719
33,7,0.5210526315789473,0.9679688988174654
22,6,0.6,0.9679685781646539
29,3,0.5473684210526315,0.9679685023346362
17,5,0.6,0.9679684060991676
30,2,0.5210526315789473,0.9679683740579108
22,5,0.5736842105263158,0.9679683718963346
22,5,0.5473684210526315,0.9679682577670365
23,5,0.46842105263157896,0.9679680018941584
30,5,0.5736842105263158,0.9679677242647915
25,8,0.6,0.9679677049068028
26,8,0.5473684210526315,0.9679676120701575
19,6,0.46842105263157896,0.9679675849647602
26,8,0.6,0.9679675136363719
16,1,0.2578947368421053,0.9679675111547063
27,1,0.15263157894736842,0.9679673213536574
33,1,0.3368421052631579,0.9679672731132097
34,7,0.5473684210526315,0.9679672434559121
24,6,0.5210526315789473,0.9679672419389426
20,6,0.6,0.9679671631173016
16,1,0.23157894736842105,0.9679670578535584
23,6,0.5210526315789473,0.9679668364419834
34,1,0.5210526315789473,0.9679665991044533
22,5,0.6,0.9679664159813209
24,6,0.49473684210526314,0.967966378502963
27,3,0.5210526315789473,0.967966364662995
31,1,0.28421052631578947,0.9679663630760202
28,8,0.5473684210526315,0.9679663190160323
34,7,0.6,0.9679662433027263
27,4,0.46842105263157896,0.9679661607550822
16,1,0.20526315789473684,0.9679660294755531
23,6,0.5736842105263158,0.9679659817090944
26,8,0.5736842105263158,0.9679659260372299
27,2,0.46842105263157896,0.967965887313904
24,6,0.5736842105263158,0.9679655646235639
24,7,0.6,0.9679652206422632
24,1,0.49473684210526314,0.9679651074959746
27,6,0.46842105263157896,0.9679649839569797
20,4,0.5736842105263158,0.9679646279139539
24,8,0.6,0.9679646111321626
16,1,0.17894736842105263,0.9679645876532094
24,7,0.5736842105263158,0.9679644611618671
29,8,0.5736842105263158,0.9679643324401902
22,5,0.5210526315789473,0.9679642603431141
32,7,0.5736842105263158,0.9679641424093327
28,8,0.49473684210526314,0.967963702680549
23,1,0.3368421052631579,0.9679635203485311
24,6,0.5473684210526315,0.9679634510680665
26,7,0.5210526315789473,0.9679634127749266
23,7,0.6,0.9679633255709186
16,1,0.15263157894736842,0.9679631944617256
24,5,0.49473684210526314,0.9679631942582876
23,6,0.49473684210526314,0.967963160990563
23,7,0.5736842105263158,0.9679629124288179
23,6,0.5473684210526315,0.9679629086868314
24,4,0.46842105263157896,0.9679627116242459
20,4,0.5473684210526315,0.9679626727628543
33,4,0.5210526315789473,0.9679626583484583
16,1,0.12631578947368421,0.9679626104717161
19,5,0.44210526315789467,0.9679623180255121
17,3,0.5736842105263158,0.967962163811305
27,2,0.49473684210526314,0.9679621603938637
24,7,0.5473684210526315,0.9679621560205167
27,8,0.46842105263157896,0.96796211905843
25,7,0.5473684210526315,0.9679620903892553
32,7,0.5473684210526315,0.9679617572654677
22,1,0.23157894736842105,0.9679615636683804
26,3,0.6,0.9679615591247758
34,6,0.5473684210526315,0.9679614222647779
33,4,0.49473684210526314,0.9679613930692779
17,5,0.5736842105263158,0.9679612300620357
20,5,0.6,0.9679611938272112
14,3,0.5736842105263158,0.967960986145607
28,6,0.46842105263157896,0.9679607565913458
29,3,0.5210526315789473,0.967960715495802
22,5,0.49473684210526314,0.9679606484481288
32,1,0.49473684210526314,0.9679605286123022
26,7,0.49473684210526314,0.9679603834532045
25,1,0.5210526315789473,0.9679601917813312
28,8,0.46842105263157896,0.9679600765944189
29,2,0.44210526315789467,0.9679600571225795
31,2,0.6,0.9679599624525688
29,2,0.4157894736842105,0.9679597589283001
15,3,0.5210526315789473,0.9679597325357021
26,1,0.44210526315789467,0.9679596726191173
33,2,0.49473684210526314,0.96795924075481
24,6,0.46842105263157896,0.9679592381578843
29,7,0.5210526315789473,0.9679591680454912
25,8,0.5736842105263158,0.9679591516897433
30,7,0.5210526315789473,0.9679590355909756
22,4,0.44210526315789467,0.9679588642654627
27,3,0.49473684210526314,0.9679588629331926
24,8,0.5736842105263158,0.9679587420477335
23,5,0.44210526315789467,0.9679587151111588
23,4,0.44210526315789467,0.9679587033967713
25,4,0.46842105263157896,0.9679586264250654
15,4,0.6,0.9679585078048966
19,2,0.5473684210526315,0.9679584116465857
27,1,0.12631578947368421,0.9679583102028367
25,6,0.46842105263157896,0.9679582244767633
29,8,0.5473684210526315,0.9679581288736075
23,8,0.6,0.9679581152812817
30,8,0.5210526315789473,0.9679580879240637
29,8,0.5210526315789473,0.9679580426471138
31,4,0.5473684210526315,0.96795795748866
27,7,0.46842105263157896,0.9679576758275098
25,5,0.49473684210526314,0.9679575970352945
23,8,0.5736842105263158,0.9679572557970222
26,8,0.5210526315789473,0.9679571323090483
19,6,0.44210526315789467,0.9679569410001673
22,6,0.5736842105263158,0.967956937479281
14,2,0.5736842105263158,0.9679567940758326
23,7,0.5473684210526315,0.9679567872421306
23,6,0.46842105263157896,0.9679566782097673
17,4,0.49473684210526314,0.967956366362076
32,2,0.6,0.9679561547473596
34,3,0.5210526315789473,0.9679554903985552
16,2,0.49473684210526314,0.9679553514893937
24,1,0.46842105263157896,0.96795498519918
18,2,0.49473684210526314,0.9679547487675915
31,7,0.5210526315789473,0.9679546497223901
19,4,0.3631578947368421,0.9679545972417498
16,5,0.6,0.9679545862762459
18,6,0.5736842105263158,0.9679542760997641
18,4,0.3894736842105263,0.967953981562462
22,7,0.5736842105263158,0.9679538853277455
30,2,0.49473684210526314,0.9679537107053824
16,1,0.1,0.9679536498982394
30,8,0.5736842105263158,0.9679536474913438
30,8,0.6,0.9679532695141095
30,7,0.49473684210526314,0.9679532154738966
18,3,0.46842105263157896,0.9679532114799797
24,5,0.46842105263157896,0.9679531905188237
25,8,0.5473684210526315,0.9679531165771609
29,1,0.23157894736842105,0.9679530442877043
29,8,0.49473684210526314,0.9679529783322708
33,5,0.44210526315789467,0.9679529623093805
27,5,0.49473684210526314,0.9679527273152229
33,3,0.5210526315789473,0.9679525071671046
25,7,0.5210526315789473,0.9679523468163944
33,1,0.2578947368421053,0.9679522252966712
33,8,0.5736842105263158,0.9679521071940738
26,6,0.46842105263157896,0.967952072111231
28,3,0.49473684210526314,0.9679520632983658
23,8,0.5473684210526315,0.9679518791892642
22,7,0.6,0.9679517150337176
24,3,0.6,0.9679512080309064
26,8,0.49473684210526314,0.9679510099540489
34,7,0.5210526315789473,0.9679509119292864
33,7,0.49473684210526314,0.9679508526741673
19,4,0.3894736842105263,0.9679507964853572
22,6,0.5473684210526315,0.9679506528614453
30,4,0.5210526315789473,0.9679506181445598
25,1,0.49473684210526314,0.967950509953156
29,7,0.49473684210526314,0.9679504521952701
15,2,0.46842105263157896,0.9679504317235342
20,4,0.5210526315789473,0.9679501321298078
30,6,0.5210526315789473,0.9679500406408731
26,3,0.5736842105263158,0.9679500057537963
31,8,0.5210526315789473,0.9679498829298838
21,1,0.6,0.9679497086431254
21,1,0.5736842105263158,0.9679496101024976
30,8,0.49473684210526314,0.9679495112531717
30,8,0.5473684210526315,0.9679491306447187
22,3,0.6,0.9679491155708121
23,7,0.5210526315789473,0.9679490441157655
27,9,0.5736842105263158,0.9679489086867962
